Trade Date,Market Code,Transaction Type,Instrument Code,Comments,Quantity,Price,Amount
23/06/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.01197724,50.095,0.6
23/06/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.17728168,60.92,10.8
23/06/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.05225712,89.9399,4.7
23/06/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.0225121,63.0772,1.42
23/06/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.00607656,98.74,0.6
23/06/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),0.04219409,18.96,0.8
23/06/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.00198282,544.6799,1.08000002
28/06/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.33145794,50.105,16.6077
28/06/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),4.7685213,62.69,298.9386
28/06/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),1.40051297,92.89,130.09365
28/06/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.60711909,64.74,39.30489
28/06/2022,ASX,BUY,IAF,iShares Core Composite Bond ETF (IAF),0.1677376,99.01,16.6077
28/06/2022,ASX,BUY,RCB,Russell Investments Australian Select Corporate Bond ETF (RCB),1.16606635,18.99,22.1436
28/06/2022,ASX,BUY,IVV,iShares S&P 500 ETF (IVV),0.05289451,565.16,29.89386003
07/07/2022,ASX,BUY,AAA,Betashares Australian High Interest Cash ETF (AAA),0.00047933,50.07,0.024
07/07/2022,ASX,BUY,STW,SPDR S&P/ASX 200 ETF (STW),0.23394649,59.8,13.99
07/07/2022,ASX,BUY,IAA,iShares Asia 50 ETF (IAA),0.04303599,89.46,3.85
07/07/2022,ASX,BUY,IEU,iShares Europe ETF (IEU),0.03483934,61.31,2.136
